,Unnamed: 0,RTA_CODE,STATE,RTA_LOC_NAME,LOC_LONG_DESC,PV,TW,A1,A2,A3,A4,C1_a,C1_b,C2,C3,C4,FMV,ADDON1,ADDON2,ADDON3,ADDON4,ADDON5,ADDON6,ADDON7,ADDON8,ADDON9,MARKET_VALUE,C5,A5,A6
0,0,AN01,ANDAMAN and NICOBAR,Port Blair,PORT BLAIR,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
1,1,AN02,ANDAMAN and NICOBAR,Nicobar,NICOBAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
2,2,AP01,ANDHRA PRADESH,Adilabad,ADILABAD,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
3,3,AP02,ANDHRA PRADESH,Anantapur,ANANTAPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
4,4,AP03,ANDHRA PRADESH,CHITTOOR,TIRUPATHI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
5,5,AP04,ANDHRA PRADESH,Kadapa,KADAPA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
6,6,AP05,ANDHRA PRADESH,EAST GODAVARI,EAST GODAVARI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
7,7,AP06,ANDHRA PRADESH,Kakinada,KAKINADA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
8,8,AP07,ANDHRA PRADESH,Guntur,GUNTUR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
9,9,AP08,ANDHRA PRADESH,Khairatabad,KHAIRATABAD RTO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
10,10,AP09,ANDHRA PRADESH,Hyderabad,HYDERABAD,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
11,11,AP10,ANDHRA PRADESH,Secunderabad,SECUNDERABAD,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
12,12,AP11,ANDHRA PRADESH,Malakpet,MALAKPET,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
13,13,AP12,ANDHRA PRADESH,Bahadurpura,BAHADURPURA,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
14,14,AP13,ANDHRA PRADESH,Mehdipatnam,MEHDIPATNAM,A,A,B,B,B,B,A,A,B,B,A,B,,,,,,,,,,,A,B,B
15,15,AP14,ANDHRA PRADESH,Karimnagar,KARIMNAGAR,A,A,C,C,C,C,A,A,C,C,A,C,,,,,,,,,,,A,C,C
16,16,AP15,ANDHRA PRADESH,Karimnagar,KARIMNAGAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
17,17,AP16,ANDHRA PRADESH,KRISHNA,KRISHNA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
18,18,AP17,ANDHRA PRADESH,Vijayawada 2,VIJAYAWADA 2,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
19,19,AP18,ANDHRA PRADESH,Vijayawada,VIJAYAWADA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
