,Unnamed: 0,ITEM_CODE,MANUFACTURE,PRODUCT_TYPE,MODEL,VARIANT,EX_SHOWROOM_PRICE,CC,SEATING_CAPACITY,FUEL,TONNAGE,SEGMENT,STATE_DESC,STATE_CODE,UNIQUE_ID,IBB_CODE,IIB_TAC_CODE,BODY_TYPE,CREATED_BY,CREATED_ON,LAST_MODIFIED_BY,LAST_MODIFIED_ON
0,17284,HER001,HERO HONDA,FTW,CBM,DISC SELF(RED WHEELS),58325,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.343,,
1,17285,HER001,HERO HONDA,FTW,HUNK,DSS( RED WHEELS),57538,150,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
2,17286,HER001,HERO HONDA,FTW,CDDLX,DRUM KICK SPOKE,36673,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
3,17287,HER001,HERO HONDA,FTW,CDDLX,DRUM KICK CAST,37884,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
4,17288,HER001,HERO HONDA,FTW,CDDLX,SELF SPOKE,38792,100,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
5,17289,HER001,HERO HONDA,FTW,SPLENDORPRO,SELF SPOK (N),43433,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
6,17290,HER001,HERO HONDA,FTW,SPLENDORPRO,KICK SPO (N),41415,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
7,17291,HER001,HERO HONDA,FTW,SPLENDORPRO,KICK CAST (N),42424,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
8,17292,HER001,HERO HONDA,FTW,SPLENDORPRO,KICK PRO (N),41000,98,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
9,17293,HER001,HERO HONDA,FTW,SPLENDOR,SPLENDOR + DRUM,40650,97,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.347,,
10,17294,HER326,HERO MOTOR CORP,FTW,ACHIVER,150 DS,62800,149,2,P,,TW,ALL,ALL,,,,,Admin,2018-09-08 21:54:30.350,,
